source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,bp_rp,dist
2013541107154020352,345.6468068300471,0.16580324,59.24245303054469,0.14808545,0.3507410418959935,0.19145192,3.957796,-3.267799050046677,0.19547528,-2.232854483980359,0.18347313,-0.19235256,-0.019019416,-0.060291585,19.027008,1.926796,17.873752294672894
2013541111448320128,345.65113805910505,0.010126397,59.24249548800127,0.009832946,0.3437367539609909,0.012066027,2.9097278,-2.661536934588677,0.012886766,-1.1758981954979966,0.012484246,-0.15992092,0.0033011865,-0.14364219,13.352328,0.60127926,17.85036612514711
2013541828708392064,345.61493906236615,0.20748132,59.24819092334326,0.18235695,0.1267198779100153,0.23902352,2.777347,-2.393899418347634,0.23495382,-1.408155751898852,0.22527872,-0.18587105,-0.04638233,-0.03499205,19.338018,1.8785534,17.80343253467446
2013541863062965632,345.63471538901626,0.09587529,59.24823197987816,0.08829647,0.2481303271924094,0.1110748,2.8428633,-2.62031048304618,0.11397971,-1.1026534654658948,0.10905926,-0.1746115,0.0020676665,-0.038361937,18.128792,1.8727703,17.607887091702064
2013541863062998272,345.64333695629904,0.09514147,59.25973686207692,0.09680287,0.1799489847373708,0.11928722,2.5364287,-2.3454899340084885,0.11081048,-0.9654777195817084,0.11191943,-0.2305448,-0.13093877,-0.014081963,18.021404,1.9891491,16.861532648771842
2013541931782470784,345.62359469973046,0.1399279,59.25903936280966,0.12164934,0.2658499192566526,0.15941882,2.9783142,-2.613542300108284,0.16060436,-1.428199005739838,0.15026566,-0.2000532,-0.042487204,-0.04598635,18.67981,2.282011,17.06796209021975
2013541931782481920,345.6214568667992,0.09805303,59.26353202663004,0.088065244,0.3261952231692719,0.114076324,2.9793153,-2.4689281567856054,0.117137745,-1.6675469152385052,0.11064561,-0.20192589,-0.03921148,-0.06569169,18.191965,2.7314281,16.825575735411647
2013542107880699904,345.61171962280343,0.039604966,59.26346000988261,0.03567285,0.2777730628057374,0.046602968,4.2853484,-3.505218361497705,0.048802517,-2.4652897619938807,0.044123437,-0.23820855,0.01296804,-0.04729794,16.648449,1.4211082,16.946611606855974
2013542142240430080,345.6329947515323,0.023031827,59.28003049102608,0.022324124,0.2573379901640608,0.028113917,3.7241824,-3.200820769565268,0.029024748,-1.9037541808830287,0.027266067,-0.17847362,0.0011693015,-0.08445631,15.488032,2.5816488,15.733474079797304
2013542176600163968,345.5999110820292,0.04014922,59.27353780106952,0.038116273,0.2632253339033634,0.048188444,4.0626783,-3.521096694873737,0.049474373,-2.026630760618166,0.048274305,-0.16747932,0.03224593,-0.11656217,16.629925,1.5564785,16.530114607037664
2013542550257729920,345.69317298735274,0.08698914,59.24570891270184,0.075321384,0.3294406712522599,0.10106115,2.963693,-2.4801445969198213,0.1036363,-1.6224543202065989,0.09174461,-0.1477203,0.027485881,-0.00069883274,17.871538,1.4126835,17.652094328189637
2013542550257746176,345.70188036196987,0.09688569,59.25108712475672,0.08883235,0.2573596867523508,0.115221,3.7247849,-3.13344258736307,0.117343776,-2.0138422163425496,0.10787513,-0.19319001,-0.015342435,-0.06689754,18.076633,1.829359,17.374756796874923
2013542550257755520,345.69637558705176,0.09858345,59.25498823389159,0.092407346,0.2363958622933125,0.11931714,3.0061324,-2.756671450008807,0.12045462,-1.198996981303886,0.11105535,-0.21840921,0.035525013,-0.11219674,18.253628,1.8016186,17.111483606490175
2013542584617481472,345.6614845494205,0.1469544,59.25105707785938,0.13045695,0.230934969925944,0.1718633,4.0465136,-3.56025707825675,0.16878961,-1.9232371502284369,0.15381654,-0.24823703,-0.044235148,-0.038442917,18.636326,1.8334541,17.302506591474753
2013542584622941312,345.6835217414486,0.2834331,59.25563942164885,0.24585862,0.1770034698756626,0.3214788,4.180587,-3.728605119392072,0.31356528,-1.890717229941268,0.29964754,-0.14229427,-0.05976044,-0.018589614,19.71205,1.9877396,17.026148744191357
2013542588917073024,345.67371005620817,0.22873506,59.24752620438962,0.20936914,0.3036135985011733,0.26588917,2.3007574,-2.028087342323177,0.26520094,-1.0864374665986016,0.2527198,-0.14761229,-0.0203427,-0.100150555,19.342196,2.0081005,17.500981781815373
2013542726356016640,345.73468794053,0.08528525,59.27997420521438,0.074938454,0.339914877165687,0.0986461,2.7833018,-2.425027099069152,0.108357236,-1.36602085054849,0.09493483,-0.19030996,0.07832426,-0.0302874,17.777195,1.5006962,15.990376326975156
2013542859495457536,345.78911821765274,0.06256829,59.27451837163485,0.057421226,0.1834468448428768,0.07448202,3.0890992,-2.46102937942599,0.075914204,-1.8670481441328748,0.07054723,-0.17154996,-0.045547217,-0.12819788,17.321154,1.4774895,17.345912943228427
2013542859495471232,345.7968264689826,0.13439228,59.276180580806205,0.12389122,0.2994842683689021,0.16012642,3.0161235,-2.7906492882622858,0.15731242,-1.1442367712755148,0.15284343,-0.1911556,0.002164324,-0.12468272,18.680147,2.5453854,17.446757946569942
