ug,gr,ri,iz
1.598755,0.795372,0.3611612,0.2092161
1.727306,0.8689537,0.3794346,0.2406368
1.609892,0.5730553,0.3004017,0.260294
1.55473,0.5282822,0.2236719,0.1090422
2.134941,0.8643436,0.3706989,0.162816
2.262154,1.024962,0.4147005,0.2639065
2.09026,0.8667221,0.4791975,0.4634895
1.689905,0.7942657,0.3395004,0.2252617
1.503305,0.7154312,0.3411102,0.205307
2.862188,-3.261582,0.2232513,1.206025
1.776411,0.826786,0.3278389,0.203228
0.6728954,1.342142,4.487926,0.2735672
1.40292,0.5289707,0.2245693,0.09031868
1.751312,0.7758884,0.3111115,0.1675396
1.974993,0.7065773,0.4088535,0.3424654
1.614697,0.594388,0.2483854,0.176321
1.915337,0.7226906,0.3947315,0.372695
1.606842,0.7756481,0.334466,0.2079992
1.579756,0.7949142,0.365799,0.245121
1.620932,0.6943665,0.3333054,0.246377
1.547926,0.6876755,0.2850227,0.2030468
1.453331,0.6024065,0.2181911,0.1288242
1.795395,0.4046431,-2.093871,1.880256
2.298792,1.026577,0.5668716,0.4991064
2.558865,1.435762,0.7205887,0.4261618
4.804815,1.842112,0.8899698,0.7116203
1.833474,0.6389055,-1.554276,1.285266
1.509741,0.223362,0.06040668,0.04912567
2.07321,0.9919395,0.388896,0.2232695
1.402252,0.6713696,0.2259846,0.2825165
2.105852,0.9194736,0.3698387,0.3358889
2.988802,1.353372,-1.1063,2.066811
2.1015,1.055146,0.4698763,0.3390226
1.863602,0.7727137,0.3087721,0.1815481
2.682043,1.243776,0.4623661,0.3229084
2.893942,2.545724,1.316533,0.9784546
1.403549,0.54212,0.2219849,0.1217356
1.617023,0.8148479,0.4398355,0.3892803
1.637003,0.8156319,0.365633,0.2421093
2.260191,1.047382,0.417635,0.2729225
1.918602,0.8533497,0.3477879,0.2010956
1.536144,0.3978491,0.1663628,0.09864235
1.94384,0.7596703,0.4194374,0.349267
1.48246,0.6719189,0.2737246,0.1564922
1.531275,0.686203,0.2925501,0.1614466
1.498667,0.5342035,0.2055941,0.1137304
1.759777,0.8394794,0.3640518,0.2371311
1.396508,0.5491638,0.1649647,0.1104727
1.901987,0.5886602,0.2839823,0.2227421
2.244061,0.9457607,0.5017567,0.4033384
1.559984,0.9069023,0.124671,-0.4659014
1.600857,0.4134588,0.143631,0.1275873
1.535907,0.6031494,0.253809,0.1758347
1.779836,0.7300892,0.2627401,0.1573019
1.619843,0.7646046,0.3085747,0.2328072
2.566418,1.168827,0.4750404,0.3051672
1.847269,0.8810368,0.3762417,0.2399254
2.391706,1.135704,0.4298019,0.3034325
1.557701,0.6800919,0.2641144,0.1333437
2.116785,0.797102,0.3934584,0.3876677
1.858744,0.7329931,0.3323975,0.2446461
2.05847,0.8293896,0.4260769,0.3816729
1.593311,0.6186237,0.262682,0.162549
1.338346,0.6396389,0.2807903,0.1630306
2.335406,1.103508,0.05960464,0.74125
2.01095,0.8598118,0.3660831,0.1906242
1.551123,0.7492886,0.3491211,0.1700821
1.707697,0.7695007,0.333025,0.1583805
2.119026,0.8011017,0.4450722,0.4276028
1.541939,0.6854639,0.2866888,0.1704254
3.621317,1.638333,0.5625954,-0.4598026
1.540315,0.6564312,0.2730064,0.1929846
1.76464,0.4544706,0.1825695,0.1665258
1.494378,3.947525,-2.441946,3.590502
2.010207,0.8052645,-1.247625,2.009505
2.038555,1.179518,0.6053267,0.426672
1.763063,0.7729416,0.358551,0.1221142
1.452623,0.650507,0.2808762,0.1542892
1.760782,0.7931042,0.344347,0.2376461
1.382983,0.1474667,0.04416084,0.04969215
2.394751,1.078781,0.4141235,0.2919264
2.603436,1.148463,0.4198914,0.2392359
1.558441,0.776783,0.3418322,0.1878796
1.972672,1.02075,0.5299511,0.4923563
1.546011,0.7230244,0.2911682,0.2041912
3.074386,0.5443573,0.2665567,-2.716008
2.770473,0.5092649,-0.4211454,2.168165
2.68309,1.337591,0.6012907,0.4905949
3.208128,1.92406,-1.834055,3.512172
1.863899,0.9684849,0.4412003,0.2848892
2.128223,1.306713,0.6762581,0.5232821
3.201256,1.755442,0.8531351,0.634922
1.429585,0.6907539,0.2867842,0.1496906
2.124264,1.215408,0.6125698,0.4233665
1.8837,2.97001,-3.929144,1.965839
1.232603,0.1711006,0.0372982,0.03433323
1.457598,0.6885586,0.2864265,0.1715603
1.57529,0.7026558,0.2806053,0.1471348
1.027129,-0.5178213,0.136446,1.408796
0.4123383,-0.4945755,0.9642801,0.7491827
1.529997,0.6532021,0.3111916,0.1590719
1.978312,0.8395405,0.4733734,0.4384012
1.560989,0.7516022,0.3094625,0.1681194
2.569948,1.337447,0.5467882,0.3588428
1.816349,0.9058857,0.3906937,0.307579
1.606028,0.7283697,0.2811918,0.1923571
2.707771,1.801824,0.9362421,0.6297264
0.1113243,0.03464031,0.3226767,1.103347
2.089158,1.020818,0.4426851,0.2839832
-0.4586906,0.3123817,1.272811,0.1738844
2.14204,1.008192,0.5348549,0.4198895
2.700869,0.6345873,0.2397299,2.596597
1.693323,0.7863178,0.3203583,0.2038002
2.163532,0.9076538,0.4954681,0.4243536
2.870991,1.68103,0.8263121,0.6515989
1.514866,0.6314526,0.2895432,0.1636333
1.68318,0.8277254,0.3442354,0.2159166
1.711597,0.757185,-1.132975,1.821233
1.410755,-0.7387457,1.60998,0.1579847
2.510771,1.23497,0.4715099,0.2782097
1.612264,0.2969151,0.09716988,0.06926441
1.543674,0.7126751,0.3337746,0.2075424
1.888828,0.8331814,0.4834328,0.3436737
1.72094,0.8352394,0.404561,0.256032
1.892296,0.5766478,0.2700405,0.2067547
1.718298,0.7582312,0.2892218,0.1876602
1.86273,0.6888103,0.3605785,0.4201622
1.63224,0.7308998,0.3253574,0.2039871
2.035437,0.7605648,0.378746,0.4187031
2.4513,1.158968,0.5070705,0.2753162
1.397903,0.4765692,0.09648991,0.1209354
1.481634,0.6471748,0.3277607,0.1493454
1.259315,0.07048893,-0.6750574,1.745069
1.6698,0.7567682,0.2604465,0.1185799
1.532583,0.6555862,0.2848492,0.1895428
2.375265,1.20373,0.5220776,0.3826532
2.119923,0.9779854,0.3997097,0.249073
1.60135,0.6073399,0.2662344,0.1446514
1.469618,0.6750889,0.3024654,0.2003441
1.203839,1.059914,0.09747028,-0.3102627
1.786835,0.8061876,0.3116312,0.1748343
1.773897,0.7798109,0.4149656,0.3543081
1.886501,0.9122486,0.4008961,0.2864933
1.64847,0.5737953,0.3539381,0.2287741
1.96401,0.8103313,0.4448566,0.3781414
1.631655,0.7588425,0.3324337,0.1868935
1.451942,0.5791817,0.2357578,0.1567745
2.08136,1.120733,0.5947018,0.3960285
1.469615,0.6794348,0.2971849,0.1610556
1.945669,0.8868275,0.392458,0.2403431
1.117419,1.728017,0.8252621,2.380135
3.033016,0.322423,-0.7641335,2.874884
2.496555,1.202996,0.5106554,0.3418322
5.266024,0.7538567,0.3447781,0.1105118
2.016497,0.7976713,0.4355192,0.3161955
1.973679,0.6784267,0.3828392,0.3083935
1.595581,0.7645035,0.3810768,0.3268499
1.507226,0.6654921,0.2605314,0.1587372
1.896606,0.7320309,0.387949,0.321125
1.834179,0.8997841,0.3695679,0.2422657
1.935581,0.7427063,0.4010391,0.3667355
1.635063,0.695035,0.298296,0.153224
1.505829,0.6683598,0.3076019,0.1370144
3.380438,2.523181,-1.670899,4.033884
1.753967,0.8251486,0.3549566,0.2412682
1.903452,0.8677292,0.4481182,0.3251362
2.079426,1.060081,0.6032476,0.4511251
1.543512,0.7891502,0.3224354,0.2160997
1.051105,-0.3622608,-0.1475782,1.709163
1.791065,0.8662682,0.3849659,0.2088108
2.004353,0.7346573,0.3832607,0.3329239
1.497593,0.6609087,0.2349024,0.1477318
1.614861,0.4534731,0.2117729,0.1367817
1.868687,0.7512741,0.3855715,0.3590441
2.097376,0.8264465,0.4565659,0.3900127
2.174444,1.019026,0.4088669,0.2545938
1.502564,0.2829142,0.07689285,0.04206085
1.401011,0.6307983,0.2707672,0.1478443
1.947418,0.6799297,0.3542919,0.3517189
2.008821,0.8313465,0.4548054,0.3478565
1.973585,0.6858959,0.36127,0.3486032
1.886177,0.9400578,0.4114208,0.268959
1.821276,0.8891258,0.5091686,0.4568558
1.795612,0.8659401,0.3556652,0.2437038
1.491739,0.6669044,0.3012266,0.1943874
3.05234,1.720799,0.8761997,0.6662245
2.083733,0.967701,0.4108658,0.3382778
1.67491,0.8518391,0.3717461,0.2463284
1.753727,0.7846928,0.3030357,0.2055511
2.117411,1.010099,0.4164743,0.3001022
